web-scraper-order,web-scraper-start-url,Name Sort ascending,Locality,Accessibility
"1681718724-5103","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1090 Jette
Rue Léopold Procureur 20","Public"
"1681718724-5104","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1000 Brussels
Jean de Bolognelaan 3","Public"
"1681718724-5105","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1210 Saint-Josse-Ten-Noode
Rue Gineste 1","Semi-public"
"1681718724-5106","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1070 Anderlecht
rue des Huit Heures 56","Public"
"1681718724-5107","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1180 Uccle
rue du Merlo 6","Semi-public"
"1681718724-5108","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1066 elec-postal-1066
Elzeboomlaan 102","Public"
"1681718724-5109","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1210 Saint-Josse-Ten-Noode
Avenue Galilée 5","Public"
"1681718724-5110","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1150 Woluwe-Saint-Pierre
Avenue des Eperviers, 86","Public"
"1681718724-5111","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1050 Elsene
rue Americaine 44","Semi-public"
"1681718724-5112","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1030 Schaerbeek
Masuistraat 141","Public"
"1681718724-5113","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1050 Elsene
Square du Solbosch 25","Public"
"1681718724-5114","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1150 Woluwe-Saint-Pierre
Avenue du Manoir d'Anjou 1","Public"
"1681718724-5115","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1160 Auderghem
Av. du Grand Forestier 35","Public"
"1681718724-5116","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1170 Watermael-Boitsfort
Dries 77","Semi-public"
"1681718724-5117","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1150 Woluwe-Saint-Pierre
Avenue des Touristes 81","Public"
"1681718724-5118","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1190 Vorst
Albertlaan 185","Public"
"1681718724-5119","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1082 Berchem-Sainte-Agathe
Rue du Wilder 56","Public"
"1681718724-5120","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1040 Etterbeek
Gérardstraat 5","Semi-public"
"1681718724-5121","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1190 Vorst
Wielemans Ceuppenslaan 172","Public"
"1681718724-5122","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1000 Brussels
rue Van Eyck 44","Public"
"1681718724-5123","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1080 Molenbeek-Saint-Jean
Alphonse Vandenpeereboom 52","Public"
"1681718724-5124","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1083 Ganshoren
François Beeckmansstraat 42","Public"
"1681718724-5125","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1070 Anderlecht
Edmond Delcourtstraat 48","Public"
"1681718724-5126","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1082 Berchem-Sainte-Agathe
Place de l'église","Public"
"1681718724-5127","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1030 Schaerbeek
Rue d'Anethan 4","Public"
"1681718724-5128","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1050 Elsene
rue du Trône 75","Public"
"1681718724-5129","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1000 Brussels
Bondstraat /verenigingstraat (atlas) 46","Public"
"1681718724-5130","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1066 elec-postal-1066
Diepestraat 74","Public"
"1681718724-5131","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1170 Watermael-Boitsfort
Jagersveld 1","Public"
"1681718724-5132","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1160 Auderghem
Driebruggenstraat 6","Public"
"1681718724-5133","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1030 Schaerbeek
Koninkijke Mariastraat 10","Public"
"1681718724-5134","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1060 Saint-Gilles
Vanderkinderestraat 365","Semi-public"
"1681718724-5135","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1060 Saint-Gilles
Kersbeeklaan 327","Public"
"1681718724-5136","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1050 Elsene
Rue du Printemps 47","Public"
"1681718724-5137","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1090 Jette
Augustijnernonnenstraat 29","Public"
"1681718724-5138","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1190 Vorst
Chaussée d'Alsemberg 252","Public"
"1681718724-5139","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1060 Saint-Gilles
Vanderkinderestraat 212","Public"
"1681718724-5140","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1200 Woluwe-Saint-Lambert
avenue A.J. Slegers 202","Public"
"1681718724-5141","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1000 Brussels
De Wand 78","Public"
"1681718724-5142","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1190 Vorst
Roosendaelstraat 225","Public"
"1681718724-5143","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1080 Molenbeek-Saint-Jean
Rue des Quatre-Vents 176","Public"
"1681718724-5144","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1160 Auderghem
Drève des Deux Moutiers 7","Public"
"1681718724-5145","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1050 Elsene
Rue Tenbosch 102","Public"
"1681718724-5146","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1030 Schaerbeek
Avenue Renan 38","Public"
"1681718724-5147","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1000 Brussels
Av du Scarabée coin roosevelt 110","Public"
